Country,Year and survey,Multidimensional Poverty Index Value,Population in mulitidmensional poverty(%),Population in mulitidmensional poverty head count (thosands),intensity of deprivation(%),People who are multidimensionally poor and deprived in Nutrition  (%),People who are multidimensionally poor and deprived in Child Mortality  (%),People who are multidimensionally poor and deprived in Years of schooling (%),People who are multidimensionally poor and deprived in School attendance (%),People who are multidimensionally poor and deprived in Cooking fuel  (%),People who are multidimensionally poor and deprived in Sanitation  (%),People who are multidimensionally poor and deprived in Drinking water (%),People who are multidimensionally poor and deprived in Electricity  (%),People who are multidimensionally poor and deprived in Housing  (%),People who are multidimensionally poor and deprived in Assets (%)
Morocco,2018,0.0334365553266834,7.86099648646514,2817.3623046875,42.534754193382,3.68686097143536,3.56767905448187,5.42637963162152,3.05215665588086,1.93142604160318,2.4996848868747,3.73454149142743,1.07240770672879,2.49819083380459,1.25031968731275
Mozambique,2023,0.330197379213271,59.8540874735745,20132.017578125,55.1670559440159,30.2032245039211,4.2054659859664,34.5868761196576,31.8,59.2829010047487,51.8638643256863,42.3566031991479,51.4277422743142,52.5,34.4706023212809
Namibia,2007,0.204953102079742,42.961044795037,867.211669921875,47.7067313091555,27.2190710077793,4.64942850015031,11.6095317187386,11.8341644346614,40.5633492120252,40.0230012631453,20.0246104437676,39.3713253249511,37.6612392379807,25.3354712774812
Nepal,0,0.299728547635978,58.2651439722866,15478.3828125,51.4421706017824,32.4313104333941,4.76206368400806,38.8288382875996,15.4083156361877,57.1049854406362,51.810254481002,16.3071464996253,40.3878508599465,56.3967241246578,43.2128402150707
Nicaragua,2012,0.0744948916699346,16.4601998045517,971.363525390625,45.2575865144327,4.47915930035038,0.64317590331055,12.5160660995845,3.67956619323751,16.2089368728876,6.17581541671339,13.6226409570639,11.4859376005809,13.5111378690833,9.13243380003543
Niger,0,0.668370278240736,92.9136292119194,13257.4560546875,71.9345788028904,64.6269211274131,26.1059496213407,81.7839114089402,65.675684740515,92.7752968060185,90.2254139789593,67.4696346397013,87.9493522840247,85.2464138956104,64.8229885338452
Nigeria,2017,0.215,40.8,81748.640625,52.6364626184819,0.0,13.2,23.0786015946626,21.0887054275093,39.7,31.7,24.090656275612,31.5,32.3470961991707,15.7
North Macedonia,2019,0.0051743650824537,1.3690002802476,25.9787101745605,37.8,1.2,0.0,0.16212669194973,0.1,0.66671847659391,0.4,0.0,0.1,0.0,0.1
Pakistan,2018,0.198237407955765,38.3321306050603,86986.6796875,51.7,26.980924773997,5.87106329701935,24.8,24.3,31.2414733476845,21.6870209717196,7.9,7.1,30.6437262420357,12.2031642098238
"Palestine, State of",2020,0.002,0.5,27.726146697998,34.7,0.5,0.3,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.01218388423731
Peru,0,0.052407888145269,12.5896105113639,3720.27587890625,41.6278868182328,5.85980495990341,0.5400828879155,5.5886120848623,1.88390953456619,11.502673319143,11.1385415593007,5.80454832529389,5.92700481353629,12.4009941082611,5.94320813415769
